category,item,status,priority,notes
3D printing,Bambu Lab P1S AMS,Owned,Required,Primary printer for robot parts
3D printing,PLA filament,Owned,Required,General printing and test parts
3D printing,PETG filament,Owned,Recommended,Tougher parts and tool handles
3D printing,99.9% isopropyl alcohol,Purchased,Required,Print-bed and electronics cleaning
3D printing,Deburring tool,Purchased,Required,Cleans printed holes and edges
Mechanical,Moqinai M2/M3/M4/M5 screw nut and washer assortment,Purchased,Required,1500-piece 304 stainless steel kit; check exact M2 and M3 lengths against official BOM
Mechanical,M3 brass heat-set inserts,Purchased,Required,Used for strong threads in printed parts
Mechanical,Bakeshu metric hex bit set,Purchased,Required,H1.0-H8 bits; important sizes: 1.5 mm; 2.0 mm; 2.5 mm; 3.0 mm
Mechanical,3D-printed hex-bit handle,Planned,Recommended,Print a screwdriver or T-handle for the hex bits
Mechanical,150 mm digital calipers,Purchased,Required,Measure prints; holes; bearings; screws; tolerances
Mechanical,Flush cutters,Purchased,Required,Print cleanup; cable ties; component leads
Mechanical,Long nose pliers,Purchased,Required,Small hardware and wire handling
Electronics,YIHUA 926LED IV temperature-controlled soldering station,Purchased,Required,Bench soldering setup for connectors and basic wiring
Electronics,Lead-free solder wire,Purchased,Required,35 g spool; 0.8 mm diameter; 99.3 percent tin and 0.7 percent copper
Electronics,Brass tip cleaner,Purchased,Recommended,Maintains soldering tip
Electronics,Helping hands,Purchased,Recommended,Holds wires and connectors during soldering
Electronics,Desoldering pump,Purchased,Recommended,Desoldering and rework
Electronics,Desoldering wick,Purchased,Recommended,2.5 mm x 3 m wick for cleaning pads and removing solder bridges
Electronics,No-clean rosin flux pens,Purchased,Recommended,Use electronics-safe flux only
Electronics,DollaTek wire stripper,Purchased,Required,Strips 10-22 AWG / 0.6-2.6 mm wire without damaging strands
Electronics,Precision anti-magnetic tweezers,Purchased,Recommended,Small hardware and electronics handling
Consumables,580-piece heat shrink tubing kit,Purchased,Required,1-10 mm mixed colours for insulation and strain relief
Consumables,22 AWG silicone wire kit,Purchased,Required,Six-colour 10 ft spools for general-purpose robotics wiring
Consumables,Nylon cable ties,Purchased,Recommended,Temporary cable management during wiring and testing
Optional,Digital multimeter,Check,High,Buy if not already owned
Optional,Silicone soldering mat,Optional,Medium,Protects desk and organizes small parts
Optional,Blue threadlocker,Optional,Medium,Useful once vibration becomes an issue
Optional,Velcro cable ties,Optional,Medium,Reusable cable management later; nylon cable ties already purchased
Optional,Magnetic parts tray,Optional,Low,Convenient for tiny screws
Later,Perfboard or prototype PCB kit,Deferred,Low,Useful for custom circuits but not needed for stock build
